Kommune;DepartmentID;OrgNo;Skole;Bydel
Stavanger;3549;974154307;Steinerskolen Stavanger Grunnskole;blandet
Stavanger;3550;974611430;Storhaug skole;Storhaug
Stavanger;3551;974611589;Sunde skole;Madla
Stavanger;3552;974611538;Tasta skole;Tasta
Stavanger;3553;984034547;Tastarustå skole;Tasta
Stavanger;3554;974611619;Tastaveden skole;Tasta
Stavanger;3555;977506077;Teinå skole;Tasta
Stavanger;3557;874611522;Tjensvoll skole;Hillevåg
Stavanger;3559;974611481;Ullandhaug skole;Hillevåg
Stavanger;3560;974611406;Vardenes skole;Tasta
Stavanger;3561;974611384;Vassøy skole;Storhaug
Stavanger;3562;974611503;Vaulen skole;Hinna
Stavanger;3437;983618979;Vikevåg skule;Rennesøy
Stavanger;3564;974611449;Våland skole;Eiganes/Våland
Stavanger;40784;916579632;Wang Ung Stavanger AS;blandet
Trondheim;5472;976207815;Adventkirken skole Nidelven;blandet
Trondheim;3963;975278964;Berg skole;Lerkendal
Trondheim;3964;973358502;Birralee International School Trondheim AS Avd skole;blandet
Trondheim;3965;975278867;Bispehaugen skole;Østbyen
Trondheim;3966;975279103;Blussuvoll skole;Lerkendal
Trondheim;3967;975278883;Bratsberg skole;Lerkendal
Trondheim;3968;975278956;Breidablikk skole;Heimdal
Trondheim;3969;975292886;Brundalen skole;Østbyen
Trondheim;3972;975278840;Byåsen skole;Midtbyen
Trondheim;3974;975278891;Charlottenlund barneskole;Østbyen
Trondheim;3975;975290158;Charlottenlund ungdomsskole;Østbyen
Trondheim;3978;976677218;Dalgård skole og ressurssenter;blandet
Trondheim;3979;979195052;Eberg skole;Lerkendal
Trondheim;3980;975299171;Flatåsen skole;Lerkendal
Trondheim;3983;975289796;Hallset skole;Midtbyen
Trondheim;42369;926159534;Heimdal Friskole, Kristen grunnskole Heimdal;blandet
Trondheim;3985;975298779;Hoeggen skole;Lerkendal
Trondheim;41930;921181183;Huseby barneskole - Ac Møller tegnspråksenter;Heimdal
Trondheim;3986;975267792;Huseby ungdomsskole;Heimdal
Trondheim;3987;979195346;Hårstad skole;Heimdal
Trondheim;3988;975278905;Ila skole;Midtbyen
Trondheim;40694;916594550;Jakobsli skole;Østbyen
Trondheim;3990;875299492;Kattem skole;Heimdal
Trondheim;3858;974588145;Klæbu ungdomsskole;Heimdal
Trondheim;3993;975278921;Lade skole;Østbyen
Trondheim;3996;975278859;Lilleby skole;Østbyen
Trondheim;3997;983210058;Markaplassen skole;Østbyen
Trondheim;3998;975289443;Nardo skole;Lerkendal
Trondheim;8741;884675812;Nidaros Idrettsungdomsskole;blandet
Trondheim;3999;875278932;Nidarvoll skole;Lerkendal
Trondheim;4001;975278948;Nyborg skole;Midtbyen
Trondheim;4002;975278972;Nypvang skole;Heimdal
Trondheim;4003;979195192;Okstad skole;Lerkendal
Trondheim;4004;975278980;Ranheim skole;Østbyen
Trondheim;4006;975267806;Romolslia skole;Lerkendal
Trondheim;4007;875279092;Rosenborg skole;Østbyen
Trondheim;4008;975300102;Rosten skole;Heimdal
Trondheim;4009;975278999;Rye skole;Heimdal
Trondheim;4011;875295942;Selsbakk skole;Midtbyen
Trondheim;4012;976677269;Singsaker skole;Midtbyen
Trondheim;4013;875290142;Sjetne skole;Lerkendal
Trondheim;4015;975279006;Solbakken skole;Østbyen
Trondheim;4016;975279081;Spongdal skole;Heimdal
Trondheim;4017;975298582;Stabbursmoen skole;Heimdal
Trondheim;4018;975324761;Stavset skole;Midtbyen
Trondheim;4019;975297519;Steindal skole;Lerkendal
Trondheim;4020;974127016;Steinerskolen i Trondheim Grunnskole;blandet
Trondheim;4021;982196574;Steinerskolen på Rotvoll;blandet
Trondheim;4030;986859659;Stiftelsen Trondheim International School;blandet
Trondheim;4033;982722861;Stiftelsen Trondheim Kristne Grunnskole, Tomasskolen;blandet
Trondheim;34661;996772810;Strinda videregående skole;blandet
Trondheim;4024;975279014;Strindheim skole;Østbyen
Trondheim;4025;975279073;Sunnland skole;Lerkendal
Trondheim;4026;975279065;Sverresborg skole;Midtbyen
Trondheim;3859;975298515;Sørborgen skole;Heimdal
Trondheim;3860;975300072;Tanem skole;Heimdal
Trondheim;4028;975298736;Tonstad skole;Heimdal
Trondheim;42027;923189963;Trondheim Idrettsungdomsskole AS;Lerkendal
Trondheim;39679;983682960;Trondheim Voksenopplæringssenter;blandet
Trondheim;4034;975279057;Ugla skole;Midtbyen
Trondheim;4035;975294595;Utleira skole;Lerkendal
Trondheim;4036;975327043;Vikåsen skole;Østbyen
Trondheim;4037;975279022;Åsheim barneskole;Heimdal
Trondheim;4038;975279049;Åsheim ungdomsskole;Heimdal
Trondheim;4039;975278875;Åsvang skole;Lerkendal
Trondheim;4040;975279030;Åsveien skole og ressurssenter;Midtbyen
