Kommune;DepartmentID;OrgNo;Skole;Bydel;GEO
Stavanger;3437;983618979;Vikevåg skule;Rennesøy;110309
Stavanger;3564;974611449;Våland skole;Eiganes/Våland;
Trondheim;3963;975278964;Berg skole;Lerkendal;500103
Trondheim;3965;975278867;Bispehaugen skole;Østbyen;500102
Trondheim;3966;975279103;Blussuvoll skole;Lerkendal;500103
Trondheim;3967;975278883;Bratsberg skole;Lerkendal;500103
Trondheim;3968;975278956;Breidablikk skole;Heimdal;500104
Trondheim;3969;975292886;Brundalen skole;Østbyen;500102
Trondheim;3972;975278840;Byåsen skole;Midtbyen;500101
Trondheim;3974;975278891;Charlottenlund barneskole;Østbyen;500102
Trondheim;3975;975290158;Charlottenlund ungdomsskole;Østbyen;500102
Trondheim;3979;979195052;Eberg skole;Lerkendal;500103
Trondheim;3980;975299171;Flatåsen skole;Lerkendal;500103
Trondheim;3983;975289796;Hallset skole;Midtbyen;500101
Trondheim;3985;975298779;Hoeggen skole;Lerkendal;500103
Trondheim;41930;921181183;Huseby barneskole - Ac Møller tegnspråksenter;Heimdal;500104
Trondheim;3986;975267792;Huseby ungdomsskole;Heimdal;500104
Trondheim;3987;979195346;Hårstad skole;Heimdal;500104
Trondheim;3988;975278905;Ila skole;Midtbyen;500101
Trondheim;40694;916594550;Jakobsli skole;Østbyen;500102
Trondheim;3990;875299492;Kattem skole;Heimdal;500104
Trondheim;3858;974588145;Klæbu ungdomsskole;Heimdal;500104
Trondheim;3993;975278921;Lade skole;Østbyen;500102
Trondheim;3996;975278859;Lilleby skole;Østbyen;500102
Trondheim;3997;983210058;Markaplassen skole;Østbyen;500102
Trondheim;3998;975289443;Nardo skole;Lerkendal;500103
Trondheim;3999;875278932;Nidarvoll skole;Lerkendal;500103
Trondheim;4001;975278948;Nyborg skole;Midtbyen;500101
Trondheim;4002;975278972;Nypvang skole;Heimdal;500104
Trondheim;4003;979195192;Okstad skole;Lerkendal;500103
Trondheim;4004;975278980;Ranheim skole;Østbyen;500102
Trondheim;4006;975267806;Romolslia skole;Lerkendal;500103
Trondheim;4007;875279092;Rosenborg skole;Østbyen;500102
Trondheim;4008;975300102;Rosten skole;Heimdal;500104
Trondheim;4009;975278999;Rye skole;Heimdal;500104
Trondheim;4011;875295942;Selsbakk skole;Midtbyen;500101
Trondheim;4012;976677269;Singsaker skole;Midtbyen;500101
Trondheim;4013;875290142;Sjetne skole;Lerkendal;500103
Trondheim;4015;975279006;Solbakken skole;Østbyen;500102
Trondheim;4016;975279081;Spongdal skole;Heimdal;500104
Trondheim;4017;975298582;Stabbursmoen skole;Heimdal;500104
Trondheim;4018;975324761;Stavset skole;Midtbyen;500101
Trondheim;4019;975297519;Steindal skole;Lerkendal;500103
Trondheim;4024;975279014;Strindheim skole;Østbyen;500102
Trondheim;4025;975279073;Sunnland skole;Lerkendal;500103
Trondheim;4026;975279065;Sverresborg skole;Midtbyen;500101
Trondheim;3859;975298515;Sørborgen skole;Heimdal;500104
